,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @simpeyGH: Edey pain Mahama say Akufo Addo no sell ham like kalyppo hahahaaa<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/2Mf5Emj5zs,FALSE,0,NA,03-12-16,FALSE,NA,8.05165E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SirAmankwaah,1,TRUE,FALSE,NA,NA
2,"RT @Mr_Abu233: Kalyppo is banned at polling stations on election days, says NCCE.
What about umbrellas and chickens?",FALSE,0,NA,03-12-16,FALSE,NA,8.05165E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",callmekwasi,179,TRUE,FALSE,NA,NA
3,Edey pain Mahama say Akufo Addo no sell ham like kalyppo hahahaaa<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/2Mf5Emj5zs,FALSE,2,NA,03-12-16,FALSE,NA,8.05163E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",simpeyGH,1,FALSE,FALSE,NA,NA
4,RT @StiCky_daGenius: Even dogs r drinking kalypo now.. smh,FALSE,0,NA,03-12-16,FALSE,NA,8.05153E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",pawsomegear,2,TRUE,FALSE,NA,NA
5,"<ed><U+00A0><U+00BC><ed><U+00BE><U+00B9><ed><U+00A0><U+00BC><ed><U+00BE><U+00BC>S<U+025B> <U+025B>y<U+025B> Nana a, Nana-kalypo. 
S<U+025B> <U+025B>y<U+025B> Mahama nso aa, <U+025B>ne<U+025B>… https://t.co/APtHj1SCNK",FALSE,0,NA,03-12-16,FALSE,NA,8.05151E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Ferddiegh,0,FALSE,FALSE,NA,NA
6,RT @af_ia_blue: One kalyppo two biscuits <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> sister derby eh smh,FALSE,0,NA,03-12-16,FALSE,NA,8.05142E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None_LikeDeezy,3,TRUE,FALSE,NA,NA
7,Ras MK - Bibi Yayemi (kalypo Rhythm) Mixed By Nketia https://t.co/csDcTDcNgd,FALSE,0,NA,03-12-16,FALSE,NA,8.05136E+17,NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",urbanroll,0,FALSE,FALSE,NA,NA
8,"Onaapo or Kalyppo... Choose your ""po"" wisely... <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 

#copied",FALSE,0,NA,03-12-16,FALSE,NA,8.05131E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",fiifiadinkra,0,FALSE,FALSE,NA,NA
9,"To all those who need jobs,.kalyppo is recruiting she as of Dec 7 to boost production",FALSE,0,NA,03-12-16,FALSE,NA,8.05129E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",quamie_saint,0,FALSE,FALSE,NA,NA
10,RT @af_ia_blue: One kalyppo two biscuits <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> sister derby eh smh,FALSE,0,NA,03-12-16,FALSE,NA,8.05125E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thenewceremony,3,TRUE,FALSE,NA,NA
11,"Finally on Wednesday 7 December Ghana will decide whether toaso or kalypo change 
#pilolo4peace 
#hUstlEr
#JAHbless",FALSE,1,NA,03-12-16,FALSE,NA,8.05122E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yaw_saurez,0,FALSE,FALSE,NA,NA
12,RT @af_ia_blue: One kalyppo two biscuits <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> sister derby eh smh,FALSE,0,NA,03-12-16,FALSE,NA,8.0512E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",duke_njb,3,TRUE,FALSE,NA,NA
13,One kalyppo two biscuits <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> sister derby eh smh,FALSE,0,NA,03-12-16,FALSE,NA,8.05119E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",af_ia_blue,3,FALSE,FALSE,NA,NA
14,"RT @Mr_Abu233: Kalyppo is banned at polling stations on election days, says NCCE.
What about umbrellas and chickens?",FALSE,0,NA,03-12-16,FALSE,NA,8.05118E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",simpeyGH,179,TRUE,FALSE,NA,NA
15,"RT @Mr_Abu233: Kalyppo is banned at polling stations on election days, says NCCE.
What about umbrellas and chickens?",FALSE,0,NA,03-12-16,FALSE,NA,8.05118E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Miss_InDeed,179,TRUE,FALSE,NA,NA
