"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Happening now at Odododiodio

#JMToaso 
#VoteJM2016 https://t.co/9GciOB3LBh",FALSE,0,NA,2016-12-03 22:16:15,FALSE,NA,"805173831077924864",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DOESWANZY",0,FALSE,FALSE,NA,NA
"2","RT @OfficialNDCGh: A Vote for JM is a Vote for Peace #JMToaso #Vote4JM https://t.co/Djwi9tS4LI",FALSE,0,NA,2016-12-03 22:07:59,FALSE,NA,"805171751000875008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",12,TRUE,FALSE,NA,NA
"3","RT @OfficialNDCGh: People of Ghana: We need to hear your voices! #Vote4JM #JMToaso https://t.co/00WyS7itpb",FALSE,0,NA,2016-12-03 22:07:02,FALSE,NA,"805171513355857920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",5,TRUE,FALSE,NA,NA
"4","RT @OfficialNDCGh: A vote for JM is a vote for equal rights for women! #Vote4JM #JMToaso https://t.co/Qlhfk9C6Qw",FALSE,0,NA,2016-12-03 22:06:59,FALSE,NA,"805171500756172800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",6,TRUE,FALSE,NA,NA
"5","RT @OfficialNDCGh: Youth of Ghana: We need to hear your voices! #Vote4JM #JMToaso https://t.co/yp4TDgzpTf",FALSE,0,NA,2016-12-03 22:06:57,FALSE,NA,"805171489951649792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",5,TRUE,FALSE,NA,NA
"6","RT @OfficialNDCGh: A Vote for JM is a Vote for Peace #JMToaso #Vote4JM https://t.co/SmVt1oJQdm",FALSE,0,NA,2016-12-03 22:06:54,FALSE,NA,"805171477720997888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",7,TRUE,FALSE,NA,NA
"7","RT @OfficialNDCGh: Exercise your right to vote! #Vote4JM #JMToaso https://t.co/Ic9wqOhPy7",FALSE,0,NA,2016-12-03 22:06:51,FALSE,NA,"805171466421600256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",10,TRUE,FALSE,NA,NA
"8","RT @OfficialNDCGh: A vote for JM is a vote for equal education #JMToaso #Vote4JM https://t.co/bjz9zb1edJ",FALSE,0,NA,2016-12-03 22:06:47,FALSE,NA,"805171450453889024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",7,TRUE,FALSE,NA,NA
"9","RT @OfficialNDCGh: 4 days to go! Make your voice heard! #JMToaso #Vote4JM https://t.co/mGLnzcDLIK",FALSE,0,NA,2016-12-03 22:06:09,FALSE,NA,"805171287748464641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",3,TRUE,FALSE,NA,NA
"10","RT @OfficialNDCGh: Women of Ghana: 4 days to go! Find your polling station at https://t.co/76dG9Q2rsu #JMToaso #Vote4JM https://t.co/joJrSu…",FALSE,0,NA,2016-12-03 22:06:09,FALSE,NA,"805171287714840577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kelayit",4,TRUE,FALSE,NA,NA
