"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TIKI_Wisdom: #ChangeisCOMING. #1044 <U+2661> https://t.co/9wVRveryJu",FALSE,0,NA,2016-12-03 21:33:18,FALSE,NA,"805163021664276480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TalkinTIKI",1,TRUE,FALSE,NA,NA
"2","https://t.co/f9n7TlLodU
  This election is really about bread and butter issues. #changeiscoming#GHelections",FALSE,0,NA,2016-12-03 21:21:58,FALSE,NA,"805160170145910784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kobby83",0,FALSE,FALSE,NA,NA
"3","@Nikki_Yaa #JMToaso #ChangeIsComing fair enough, or? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"Nikki_Yaa",2016-12-03 21:21:29,FALSE,"805159827567734784","805160048561364992","344333858","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aaron_Gametym",0,FALSE,FALSE,NA,NA
"4","RT @kofiCEO_: Hopefully by Thursday God will grant my wish. Nana will be President isha Allah #npp #changeiscoming",FALSE,0,NA,2016-12-03 21:11:19,FALSE,NA,"805157491034226688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuamahmenz",1,TRUE,FALSE,NA,NA
"5","Adentan constituency is so lit <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>
#TimeAsoCarnival
#VoteAkufoAddo
#ChangeIsComing https://t.co/gAqkRUXmqL",FALSE,0,NA,2016-12-03 21:06:17,FALSE,NA,"805156221779054592",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","emprezz4real",0,FALSE,FALSE,NA,NA
"6","What Legacy will YOU Leave? https://t.co/wRW6D3lKEh #Legacy #changeiscoming #changelog #ChangetheChatter",FALSE,0,NA,2016-12-03 20:43:35,FALSE,NA,"805150510479089664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rbeneteau",0,FALSE,FALSE,NA,NA
"7","Adentan constituency is on fire <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
#TimeAsoCarnival
#VoteAkufoAddo
#ChangeIsComing",FALSE,0,NA,2016-12-03 20:33:27,FALSE,NA,"805147959746850816",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","emprezz4real",0,FALSE,FALSE,NA,NA
"8","I'm just gonna call 2016 and say it's over, I'm starting 2017 beginning Monday #changeiscoming https://t.co/0dR9Zlevzl",FALSE,0,NA,2016-12-03 20:31:37,FALSE,NA,"805147499417796608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lslovesjd",0,FALSE,FALSE,NA,NA
"9","Hopefully by Thursday God will grant my wish. Nana will be President isha Allah #npp #changeiscoming",FALSE,0,NA,2016-12-03 20:14:56,FALSE,NA,"805143300374233088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kofiCEO_",1,FALSE,FALSE,NA,NA
"10","Incredible work-please spread! Lets actually support a healthy worklife balance #changeiscoming start by asking urs… https://t.co/M4Pw6cWZFT",FALSE,1,NA,2016-12-03 19:46:07,TRUE,NA,"805136048732905472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SanchitaPal4",0,FALSE,FALSE,NA,NA
"11","@NicAngeles @jeninna Iba syaaaaaa. #ChangeIsComing",FALSE,0,"NicAngeles",2016-12-03 19:25:43,FALSE,"805130684775837696","805130913684127745","29395433","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ICMendoza17",0,FALSE,FALSE,NA,NA
